Person_ID,Name,Age,Gender,Marital_Status,Num_of_Children,Family_Support_Score,Living_With_Family,Education_Level,Job_Role,Experience_Years,Monthly_Salary,Monthly_Expenses,Savings_Per_Month,Has_Loans,Monthly_EMI,UPI_Transactions_Per_Month,UPI_Total_Amount_Per_Month,UPI_Received_Amount_Per_Month,UPI_Transfer_Purpose_Major,Financial_Stress_Score,Job_Satisfaction_Score,Work_Life_Balance_Score,Physical_Health_Score,Mental_Health_Score,Sleep_Hours_Per_Day,Exercise_Per_Week,Stress_Level,Friends_Support_Score,Social_Activity_Frequency,Is_Happy,Happiness_Score
12301,Person_0,58,Male,Married,4,1,No,High School,Engineer,5,37397,38679,29056,Yes,12075,120,11826,86540,Bills,7,1,8,10,9,8,4,4,2,High,No,9
12302,Person_1,48,Male,Single,3,9,No,Bachelor,Teacher,16,21585,17738,4725,Yes,17045,31,83008,60797,Food,1,3,3,8,6,4,0,1,7,Medium,No,6
12303,Person_2,34,Female,Married,4,1,Yes,Bachelor,Artist,37,39653,20085,10437,No,7973,148,129288,83137,Bills,8,6,4,7,4,4,6,2,3,Low,No,7
12304,Person_3,62,Other,Single,1,10,Yes,PhD,Engineer,23,10110,53417,20684,No,22770,9,165201,50637,Rent,3,9,5,1,6,9,0,2,1,Low,Yes,10
12305,Person_4,27,Other,Divorced,3,10,No,Bachelor,Engineer,9,60366,58976,26325,No,10002,36,154562,5349,Travel,7,10,1,4,5,10,3,10,2,Low,Yes,1
12306,Person_5,40,Female,Divorced,2,2,Yes,High School,Artist,7,7866,39714,25143,No,7887,176,105623,39963,Bills,3,2,6,9,3,5,0,3,10,Low,Yes,3
12307,Person_6,58,Female,Widowed,3,6,No,Bachelor,Teacher,20,38179,59851,13269,No,414,85,172507,75583,Bills,3,7,10,10,7,5,0,8,10,High,Yes,10
12308,Person_7,38,Other,Single,2,6,No,PhD,Sales,5,28814,65485,13092,Yes,6850,12,139592,7750,Food,10,4,6,8,3,9,6,6,9,Low,No,5
12309,Person_8,42,Male,Married,2,1,No,PhD,Sales,20,35800,52965,7002,Yes,24918,182,83106,94929,Bills,9,2,2,4,2,10,5,6,7,Medium,No,7
12310,Person_9,30,Other,Widowed,3,7,Yes,High School,Engineer,38,30998,41157,25457,No,2729,144,192949,22463,Shopping,2,3,10,1,4,8,2,9,7,Medium,No,1
12311,Person_10,30,Female,Widowed,2,8,No,Master,Artist,23,76458,27255,6131,Yes,28026,8,150870,74935,Shopping,4,6,6,10,7,4,3,8,10,High,No,9
12312,Person_11,43,Male,Widowed,2,2,No,Bachelor,Engineer,32,38516,85770,13261,Yes,28241,87,54638,58792,Rent,6,10,8,4,5,6,6,2,8,Low,Yes,5
12313,Person_12,55,Male,Married,1,8,Yes,PhD,Manager,17,87914,48142,25215,Yes,11929,171,69072,13686,Bills,3,9,6,3,9,10,3,6,8,High,Yes,3
12314,Person_13,59,Female,Widowed,4,9,Yes,Bachelor,Sales,27,67316,82016,28537,Yes,14988,45,67309,63528,Food,10,8,4,6,10,4,3,1,9,High,Yes,7
12315,Person_14,43,Female,Married,4,6,Yes,Bachelor,Doctor,31,12315,46417,12612,No,3897,135,160966,99811,Food,10,10,4,5,7,5,0,9,2,High,No,10
12316,Person_15,22,Female,Widowed,1,5,Yes,Master,Manager,11,9979,43881,4537,No,28817,118,194035,22787,Travel,7,9,9,5,9,4,5,4,8,Low,No,8
12317,Person_16,41,Other,Married,3,9,No,PhD,Engineer,26,12414,73669,13091,Yes,28994,164,124724,14776,Rent,7,4,6,2,9,7,0,4,8,Medium,No,10
12318,Person_17,21,Other,Divorced,0,9,Yes,Bachelor,Teacher,9,8999,50232,2335,Yes,2169,18,185639,95063,Food,5,4,8,3,2,7,4,9,5,Medium,No,10
12319,Person_18,43,Male,Divorced,0,1,No,PhD,Sales,31,65315,32455,4321,No,13563,190,127843,57427,Travel,3,9,8,6,1,6,1,3,5,High,Yes,3
12320,Person_19,63,Female,Divorced,0,3,Yes,High School,Doctor,25,35993,84438,29759,Yes,18262,173,35326,61086,Food,2,8,7,2,4,8,1,5,4,High,Yes,7
12321,Person_20,49,Male,Divorced,1,9,Yes,High School,Manager,24,39472,73709,13254,Yes,28546,93,186131,63308,Travel,4,2,3,4,4,4,6,1,5,Medium,Yes,7
12322,Person_21,57,Male,Divorced,1,2,Yes,Bachelor,Sales,10,19370,6866,19369,Yes,22838,198,5079,15797,Shopping,4,8,10,2,2,7,1,6,2,Medium,No,4
12323,Person_22,21,Male,Widowed,2,4,Yes,PhD,Artist,22,85667,61919,559,No,12888,25,156910,5302,Shopping,8,1,1,9,3,8,6,3,2,Low,Yes,10
12324,Person_23,40,Male,Widowed,0,4,Yes,Bachelor,Teacher,33,26297,63893,713,No,4570,45,121412,63172,Food,8,9,5,3,3,10,2,1,5,High,No,9
12325,Person_24,52,Female,Widowed,3,2,Yes,PhD,Manager,39,65482,79291,4593,Yes,27193,117,87340,38059,Rent,5,9,10,10,5,10,0,10,3,Low,Yes,1
12326,Person_25,31,Male,Married,3,3,No,PhD,Artist,22,61323,61298,15184,Yes,1515,45,178181,908,Bills,6,8,10,10,1,7,4,6,1,Medium,Yes,1
12327,Person_26,41,Female,Married,0,3,Yes,Master,Engineer,28,34170,82529,15261,Yes,16958,13,85211,60252,Rent,8,5,2,6,9,8,4,10,9,Medium,No,5
12328,Person_27,63,Female,Married,0,1,Yes,Master,Artist,30,6799,68520,20372,Yes,12634,84,156666,80659,Rent,1,5,10,1,8,8,1,2,2,Medium,No,3
12329,Person_28,44,Other,Married,0,6,Yes,Master,Manager,6,27191,23529,22587,Yes,19251,62,42749,12877,Bills,5,3,2,10,8,7,5,8,10,Medium,No,10
12330,Person_29,68,Female,Divorced,1,8,Yes,Bachelor,Manager,39,14395,7070,256,Yes,13798,71,167364,14239,Shopping,4,5,7,3,3,9,2,2,2,Low,Yes,9
12331,Person_30,46,Other,Divorced,1,3,No,Master,Engineer,32,82607,37689,25152,No,19928,2,118192,86971,Shopping,4,4,3,8,2,5,6,4,4,Medium,Yes,5
